"Siena University",,,,,,,,,,,,,,,
"There were: 515 possible respondents.",,,,,,,,,,,,,,,
Order,Question Text,N,Avg,SD,CSIS Avg,School Avg,Siena Avg,Str Disagree,Disagree,Some Disagree,Neither,Some Agree,Agree,Str Agree,Neutral
Working with different people for labs ,,,,,,,,,,,,,,,
The class activities were fun like when we did figma.,,,,,,,,,,,,,,,
The figma lab and the small group assignments in lab,,,,,,,,,,,,,,,
Zybooks readings + availability outside of classroom to explain topics,,,,,,,,,,,,,,,
Labs and interactive activities with my group,,,,,,,,,,,,,,,
The test your skills and checkpoints each weeks. The book is also very helpful,,,,,,,,,,,,,,,
I enjoyed learning new softwares and languages. ,,,,,,,,,,,,,,,
We did not do any activities. We taught ourselves for the most part and during class time we were just working on assignments without ever getting a lecture before them so we would understand what was going on.,,,,,,,,,,,,,,,
When he coded along with ther class.,,,,,,,,,,,,,,,
The hands-on activities in lab.,,,,,,,,,,,,,,,
The lab assignments.,,,,,,,,,,,,,,,
The review/lesson at the beginning of class,,,,,,,,,,,,,,,
studying,,,,,,,,,,,,,,,
studying,,,,,,,,,,,,,,,
Office Hours.,,,,,,,,,,,,,,,
Labs and lectures and having 1 on 1 conversations with professor C,,,,,,,,,,,,,,,
The lab.,,,,,,,,,,,,,,,
The labs.,,,,,,,,,,,,,,,
Office hours chatting one on one was very helpful when I went in,,,,,,,,,,,,,,,
Working as pairs and co-coding,,,,,,,,,,,,,,,
Lab work,,,,,,,,,,,,,,,
"Practice is really important to learn this type of skill, so I found all the practice opportunities helpful",,,,,,,,,,,,,,,
"The labs In general, very well made very good at teaching us material",,,,,,,,,,,,,,,
"The lectures in general, having a visual way to understand the concepts was very helpful.",,,,,,,,,,,,,,,
Labs and homework,,,,,,,,,,,,,,,
Labs,,,,,,,,,,,,,,,
I think the videos provided in the textbook helped the most. ,,,,,,,,,,,,,,,
The labs and in class lectures,,,,,,,,,,,,,,,
The lectures and labs,,,,,,,,,,,,,,,
